,pca_0,pca_1,surprisal,disc,u_id
0,99.15249268380417,-18.483752777319644,7.95505,74,Christian Schlieren
1,-0.928249243202675,-9.77511354514383,7.4147300000000005,26,Stocken
2,252.28468823542966,-25.715813941496712,7.395410000000001,142,Dani (Uster)
3,110.99036373952933,-17.49020323057131,6.814,78,Michael ZH
4,-32.299010724821244,-4.769634234971437,6.27583,9,Simu
5,-33.72369940473061,-4.176739387114081,5.57817,8,heness
6,221.93689125143433,-20.1202664829809,5.44524,125,Andreas -Winterthur-
7,80.01799590674662,-13.320197032627958,5.326980000000001,62,Michael (Dietikon)
8,-4.177965613475644,-7.554751024766,5.30342,23,Töbu(Subingen)
9,-35.148392025643474,-3.5838612562002417,4.88059,7,Simon (Gachnang)
10,11.930904836957936,-8.022574313372441,4.55952,30,Heiziger
11,-27.406624420212676,-4.490838451123945,4.52802,11,hb9xcl
12,29.464370603413652,-9.077554880573667,4.482530000000001,38,Bulilu
13,570.0941750709386,-27.36618263673259,4.278490000000001,271,Bernhard Oker
14,-36.573080392806574,-2.9909982152605292,4.1831,6,Mick7
15,170.98336041615664,-14.88212683324463,4.09376,100,Microwave
16,-32.70227532140827,-3.4366884439079985,3.9651300000000003,8,JonasF
17,-32.70227532140827,-3.4366884439079985,3.9651300000000003,8,mono (Zürich)
18,197.50897519371136,-14.130356018219457,3.47177,110,flowi
19,-34.12676971228924,-2.863553175887417,3.3730800000000003,7,Sims
20,-27.808252415506654,-3.3243382600850557,3.1069299999999997,10,Gabe
21,98.00004355787841,-9.47365181572098,2.99152,66,Markus Pfister
22,-39.422460718596284,-1.8053243992325756,2.78839,4,stefano (Ennetmoos)
23,-29.232513188994766,-2.7753798694503997,2.6440900000000003,9,METAR
24,-29.232513188994766,-2.7753798694503997,2.6440900000000003,9,Chäps
25,38.05485872566858,-6.100957967970426,2.49856,39,Stabe
26,161.64190416851406,-10.004348565054155,2.47761,92,Dominic Kurz
27,-26.78509168887474,-2.7609073885588935,2.43788,10,Giovanni (Kriens bei Luzern)
28,-33.10411020756613,-2.2491470413508474,2.43158,7,Centaurus
29,-33.10411020756613,-2.2491470413508474,2.43158,7,c2j2
30,-33.10411020756613,-2.2491470413508474,2.43158,7,maaks
31,-9.251524784751512,-3.8270089069383846,2.4203099999999997,18,säschu (Bösingen)
32,45.3980842156078,-6.154022498515975,2.39563,42,Marco SG
33,-18.018361194195396,-3.286902177571367,2.39142,14,habebo
34,-6.803867433061559,-3.8361054740330447,2.34008,19,Daniel aus Bettingen
35,-36.97568728396282,-1.7249423719998098,2.22991,5,Fabio (FR)
36,-36.97568728396282,-1.7249423719998098,2.22991,5,Patrick -Arosa-
37,-36.97568728396282,-1.7249423719998098,2.22991,5,michi7
38,-36.97568728396282,-1.7249423719998098,2.22991,5,Cluster
39,-36.97568728396282,-1.7249423719998098,2.22991,5,Dr. Lightning
40,-36.97568728396282,-1.7249423719998098,2.22991,5,Mäck
41,-30.656734202831696,-2.230047589439899,2.20064,8,RhVS
42,-40.84715269561975,-1.2125117531491774,2.09116,3,Leon
43,-40.84715269561975,-1.2125117531491774,2.09116,3,Wolkenjaeger
44,-40.84715269561975,-1.2125117531491774,2.09116,3,Markus (Ennetbühl)
45,-40.84715269561975,-1.2125117531491774,2.09116,3,Chris_83
46,-40.84715269561975,-1.2125117531491774,2.09116,3,adriano
47,-40.84715269561975,-1.2125117531491774,2.09116,3,Clemens
48,-40.84715269561975,-1.2125117531491774,2.09116,3,sergio73
49,-40.84715269561975,-1.2125117531491774,2.09116,3,mifri
50,-40.84715269561975,-1.2125117531491774,2.09116,3,Tiefflieger
51,-28.20923293401295,-2.223687743542451,2.03779,9,focuz
52,-28.20923293401295,-2.223687743542451,2.03779,9,Beat Handschin
53,-5.780099569832616,-3.3340040747204673,1.9988299999999999,19,crosley
54,26.440309659911282,-4.545200243324352,1.9836799999999999,33,Matthias_BL
55,-34.52839730285274,-1.6970941467419478,1.9522099999999998,6,Jan (Muri BE)
56,-34.52839730285274,-1.6970941467419478,1.9522099999999998,6,raffitio
57,-25.761656882039155,-2.2249334929519353,1.9155900000000001,10,Fabian Bodensee
58,465.5670320082449,-13.784083052086595,1.8871200000000001,217,Tinu (Männedorf)
59,4.010791108850439,-3.3969622162968998,1.8199299999999998,23,Mike (Jura Basel)
60,-23.3140320968359,-2.231135508528222,1.81988,11,neco
61,-23.3140320968359,-2.231135508528222,1.81988,11,Pät Basel
62,53.36568705236672,-4.766041482502117,1.74659,44,Mike 4055 Basel
63,84.1626426843758,-5.5145458849703,1.72958,57,Nine
64,13.801743192182393,-3.470340580760397,1.6966299999999999,27,helios
65,-38.40009536094969,-1.161002923155413,1.6869999999999998,4,Philippe A
66,-38.40009536094969,-1.161002923155413,1.6869999999999998,4,Trigger
67,-38.40009536094969,-1.161002923155413,1.6869999999999998,4,Nik Oberhünigen
68,-29.633336469708635,-1.6907207485014801,1.66042,8,blacklightning
69,-27.185698585955233,-1.6982549126284507,1.5718299999999998,9,fankyy
70,97.42571266445388,-5.161191285750968,1.5391,62,Bruno Amriswil
71,-35.952640562549064,-1.1499169434952843,1.49889,5,El Niño
72,-42.27184082771126,-0.6197143719381331,1.39402,2,Barbapapa
73,-42.27184082771126,-0.6197143719381331,1.39402,2,PhilVand
74,-42.27184082771126,-0.6197143719381331,1.39402,2,Kleibi
75,-42.27184082771126,-0.6197143719381331,1.39402,2,swiss63
76,-42.27184082771126,-0.6197143719381331,1.39402,2,Schneefall
77,-42.27184082771126,-0.6197143719381331,1.39402,2,saschak.ch
